smpls_ID,reads_number
CRC001_S12,20905065
CRC002_S13,47102155
CRC004_POLP_S10,30289743
CRC004_S11,22123582
CRC005_S22,36506392
CRC006_S14,49692588
CRC018_S15,46696599
CRC021_S23,39503682
CRC023_S24,58993897
CRC024_S25,120073176
CRC029_S16,35491456
CRC031_S26,23830157
CRC035_S27,30640237
CRC038_S17,101018050
CRC039_S18,27436607
CRC040_S19,24177116
CRC041_S28,42078732
CRC042_S20,55066159
CRC057_S30,38607000
CRC058_S29,40604534
CRC062_S31,37440502
CRC063_S21,42762446
Negative_S32,49286
oCRC001_S1,27262107
oCRC003_S2,23896789
oCRC004_S3,34376993
oCRC005_S4,30137509
oCRC006_S5,35949959
oCRC007_S6,28806294
oCRC008_S7,33767041
oCRC009_S8,36004229
oCRC010_S9,42721189
